of the Unleavened Bread,ܕܦܛܝܪ̈ܐ
for the Commemoration of the Bishops,ܒܕܘܟܪܢܐ ܕܐܦܝܣ̈ܩܘܦܐ
"of the Third (Day) of the Week, of the Rest",ܕܬܠܬܐ̈ ܒܫܒܐ ܕܢܝܚܬܐ
for the Commemoration of the Apostles,ܒܕܘܟܪܢܐ ܕܫܠܝ̈ܚܐ
"of the First (Day) of the Week, of the Hosannas",ܕܚܕܒܫܒܐ ܕܐܘ̈ܫܥܢܐ
"of the Eve of Preparation, of Passion, in the (..)th Hour",ܕܥܪܘܒܬܐ ܕܚܫܐ ܒ◽◽◽ܫܥ̈ܝܢ
of the Renewal of the Church,ܕܚܘܕܬܐ ܕܥܕܬܐ
"of the Great (Day) one of the Week, of Pentecost",ܕܚܕܒܫܒܐ [ܪܒܐ] ܘܕܦܢܛܩܘܣܛܐ
"of the Third (Day) of the Week, of Passion",ܕܬܠܬܐ̈ ܒܫܒܐ ܕܚܫܐ
"of the First (Day) of the Week, the 6th, after the Manifestation; and of the Rogations",ܕܚܕܒܫܒܐ :̄ܘ̄: ܕܒܬܪ ܕܢܚܐ ܘܕܒܥ̈ܘܬܐ
"of First (Day) of the Week, the 4th, of the Fast",ܕܚܕܒܫܒܐ :̄ܕ̄: ܕܨܘܡܐ
of the Night of the Gospel,ܕܠܠܝܐ ܕܣܒܪܬܐ
"for the Commemoration of the Apostles; and for the Commemoration of the Infants; and of the Fourth (Day) of the Week, of the Rest",ܒܕܘܟܪܢܐ ܕܫ̈ܠܝܚܐ ܘܒܕܘܟܪܢܐ ܕܝ̈ܠܘܕܐ ܘܕܐܪܒܥܐ ܒܫܒܐ ܕܢܝܚܬܐ
When one becomes a Priest,ܡܐ ܕܗܘܐ ܟܗܢܐ
"of the Mystery, in the Morning; and of the Consecration of the Myron; and of the First (Day) of the Week, the 3rd, after the Manifestation",ܕܪܐܙܐ ܒܨܦܪܐ ܘܕܩܘܕܫܐ ܕܡܘܪܘܢ ܘܕܚܕܒܫܒܐ :̄ܓ̄: ܕܒܬܪ ܕܢܚܐ
of the Great First (Day) of the Week of the Resurrection,ܕܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܐ
"of the Third (Day) of the Week, of the Great Week",ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ
"of the Eve of Preparation, of Passion, in the Evening",ܕܥܪܘܒܬܐ ܕܚܫܐ ܒܪܡܫܐ
"of the Rogations, of an Earthquake",ܕܒܥܘ̈ܬܐ ܕܙܥܘܐ
"of the Fourth (Day) of the Week, of the Great Week; and of Passion",ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ
for the Commemoration of the Just; and of one of the Bishops,ܒܕܘܟܪܢܐ ܕܟܐ̈ܢܐ ܘܕܚܕ ܡܢ ܐܦܝ̈ܣܩܘܦܐ
"for the Commemoration of the Blessed, and one of the Priests",ܒܕܘܟܪܢܐ ܕܛܘܒܢ̈ܐ ܘܕܚܕ ܡܢ ܟܗ̈ܢܐ
of the Dawn of the Great First (Day) of the Week,ܕܡܓ̈ܗܝ ܚܕܒܫܒܐ ܪܒܐ
"of the Third (Day) of the Week, of the Week of the Rest",ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ
"of the Birth; and First (Day) of the Week, of the Unleavened Bread",ܕܒܝܬ ܝܠܕܐ ܘܕܚܕܒܫܒܐ ܕܦܛܝܪ̈ܐ
"of the Eve of Preparation, of the Week of the Rest",ܕܥܪܘܒܬܐ ܕܫܒܬܐ ܕܢܝܚܬܐ
"of the Second (Day) of the Week, of the Week of the Rest",ܕܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ
"of the First (Day) of the Week, of the Beginning of Pentecost",ܕܚܕܒܫܒܐ ܕܡܥ̈ܠܝ ܦܢܛܩܘܣܛܐ
of the Bishops,ܕܐܦܣ̈ܩܘܦܐ
"of the Eve of Preparation, of the Great Week",ܕܥܪܘܒܬܐ ܕܫܒܬܐ ܪܒܬܐ
"of the Dawn of the First (Day) of the Week, of the Resurrection",ܕܡܓܗܝ ܚܕܒܫܒܐ ܕܩܝܡܬܐ
of the Great First (Day) of the Week,ܕܚܕܒܫܒܐ ܪܒܐ
of the Mystery,ܕܪܐܙܐ
"of the First (Day) of the Week, of the Week after the Birth",ܕܚܕܒܫܒܐ ܕܫܒܬܐ ܕܡܢ ܒܬܪ ܒܝܬ ܝܠܕܐ
"When there is an Earthquake; and of the First (Day) of the Week, the Third of the Fast",ܡܐ ܕܗܘܐ ܙܘܥܐ ܘܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܨܘܡܐ
"of the First (Day) of the Week, the Third, after the Manifestation",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܒܬܪ ܒܝܬ ܕܢܚܐ
"in the Eve of Preparation, of the Week of the Rest; and the Commemoration of a Rigtheous Man",ܒܥܪܒܘܬܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܘܕܘܟܪܢܗ ܕܙܟܝ
of the Renewal of the Temple,ܕܚܘܕܬܐ ܕܗܝܟܠܐ
"of the First (Day) of the Week, the Sixth, after the Manifestation",ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܒܬܪ ܒܝܬ ܕܢܚܐ
"of the Third (Day) of the Week, of the Week of the Rest; and the Commemoration of Paul and Peter",ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܘܕܘܟܪܢܐ ܕܦܘܠܘܣ ܘܦܛܪܘܣ
"of the First (Day) of the Week, the Sixth, of the Fast",ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܨܘܡܐ
of the Manifestation of our Lord,ܕܒܝܬ ܕܢܚܗ ܕܡܪܢ
"of the First (Day) of the Week, the Fourth of the Fast; and the Third First (Day) of the Week, after the Manifestation",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܨܘܡܐ ܘܕܚܕ ܒܫܒܐ ܕܬܠܬܐ ܕܒܬܪ ܒܝܬ ܕܢܚܐ
"of the Fourth (Day) of the Week, of the Middle Week of the Fast",ܕܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܡܨܥܝܬܐ ܕܨܘܡܐ
"of the Eve of Preparation, of the Middle Week of the Fast",ܕܥܪܘܒܬܐ ܕܫܒܬܐ ܡܨܥܝܬܐ ܕܨܘܡܐ
of the Hosannas,ܕܐܘܫܥ̈ܢܐ
"of the Fifth (Day) of the Week, of the Mystery, after the Office of the Night; and ""You are holy, O God""",ܕܚܡܫܐ ܒܫܒܐ ܕܪܙܐ ܒܬܪ ܬܫܡܝܫܬܐ ܕܪܡܫܐ ܘܩܕܝܫ ܐܢܬ ܐܠܗܐ
"of the end of the office of the Night of the Eve of Preparation, after ""O Lord, your call""(?)",ܕܒܫܘܠܡ ܬܫܡܝܫܬܐ ܕܪܡܫܐ ܕܥܪܘܒܬܐ ܒܬܪ ܡܪܝܐ ܩܪܝܬܟ
"of the Fifth (Day) of the Week, of the Mystery, after the Office of the Night; and ""You are holy""",ܕܚܡܫܐ ܒܫܒܐ ܕܪܙܐ ܒܬܪ ܬܫܡܝܫܬܐ ܕܪܡܫܐ ܘܩܕܝܫ ܐܢܬ
of the Renewal of the Cross,ܕܐܝܢܩܢܝܐ ܕܨܠܝܒܐ
"of the Second (Day) of the Week, of the Week of the Rest; for the Commemoration of John the Baptist",ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܒܕܘܟܪܢܗ ܕܝܘܚܢܢ ܡܥܡܕܢܐ
"of the First (Day) of the Week, the Fourth after the Manifestation",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܒܬܪ ܒܝܬ ܕܢܚܐ
"for the Commemoration of John the Baptist; and of the Second (Day) of the Week, of the Week of the Rest",ܒܕܘܟܪܢܗ ܕܝܘܚܢܢ ܡܥܡܕܐ(!) ܘܕܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ
"of the First (Day) of the Week, of the Completion of Pentecost",ܕܚܕܒܫܒܐ [ܕܫܘܠܡܐ ܕ] ܦܢܛܩܘܣܛܐ
"of the First (Day) of the Week, of the Beginning of the Fast, and of Pentecost",ܕܚܕܒܫܒܐ ܕܡܥ̈ܠܝ ܨܘܡܐ ܘܕܦܢܛܩܘܣܛܐ
for the Commemoration of the Blessed,ܒܕܘܟܪܢܐ ܕܛܘܒܢ̈ܐ
"of the First (Day) of the Week, the Third, after the Resurrection",ܕܚܕܒܫܒܐ ܕܬܠܬܐ [ܕܒܬܪ ܩܝܡܬܐ]
"of the First (Day) of the Week, of the Hosannas",ܕܚܕܒܫܒܐ ܕܐܘܫܥ̈ܢܐ
"of the First (Day) of the Week, the Second, of the Fast",ܕܚܕܒܫܒܐ ܕܬܪ̈ܝܢ ܕܨܘܡܐ
"of the First (Day) in the Week, the Fourth",ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ
"of the First (Day) of the Week, the Fifth",ܕܚܕܒܫܒܐ ܕܚܡܫܐ
"of the First (Day) of the Week, the Sixth",ܕܚܕܒܫܒܐ ܕܫ̈ܬܐ
"of the First (Day) of the Week, of the Seventh ",ܕܚܕܒܫܒܐ ܕܫܒ̈ܥܐ
"of the First (Day) of the Week, the Ninth",ܕܚܕܒܫܒܐ ܕܬܫ̈ܥܐ
"of the First (Day) of the Week, of tenth",ܕܚܕܒܫܒܐ ܕܥܣܪ̈ܐ
"of the First (Day) of the Week, the Eleventh",ܕܚܕܒܫܒܐ ܕܚܕ ܥܣܪ
of the Manifestation of our Lord; and of the Dawn of the Great First (Day) of the Week,ܕܕܢܚܗ ܕܡܪܢ [ܘ]ܕܡܓܗܝ ܚܕܒܫܒܐ ܪܒܐ
of the Dawn of the Great First (Day) of the Week,ܕܡܓܗܝ ܚܕܒܫܒܐ ܪܒܐ
for the Commemoration of the Just,ܒܕܘܟܪܢܐ ܕܟܐܢ̈ܐ
"of the First (Day) of the Week, the Twelfth",ܕܚܕܒܫܒܐ ܕܬܪܥܣܪ
"of the First (Day) of the Week, the Thirteenth",ܕܚܕܒܫܒܐ ܕܬܠܬ ܥܣܪ
"of the First (Day) in the Week, the Fourtheenth",ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܬ ܥܣܪ
"of the First (Day) in the Week, the fifteenth ",ܕܚܕܒܫܒܐ ܕܚܡܫܬ ܥܣܪ
"of the First (Day) of the Week, the Sixteenth",ܕܚܕܒܫܒܐ ܕܐܫܬܬ ܥܣܪ
"of the Third (Day) of the Week, of the Rest",ܕܬܠܬܐ ܒܫܒܐ ܕܢܝܚܬܐ
"of the First (Day) of the Week, the Twenty-Second",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܬܪ̈ܝܢ
"of the First (Day) in the Week, the sixteenth",ܕܚܕܒܫܒܐ ܕܫܒܬ ܥܣܪ
"of the First (Day) in the Week, the Eigtheenth",ܕܚܕܒܫܒܐ ܕܕܬܡܢܬ ܥܣܪ
"of the First (Day) in the Week, the nineteenth ",ܕܚܕܒܫܒܐ ܕܬܫܬ ܥܣܪ
"of the First (Day) in the Week, the twentieth",ܕܚܕܒܫܒܐ ܥܣܪܝܢ
"of the First (Day) of the Week, the Twenty-First",ܕܚܕܒܫܒܐ ܥܣܪܝܢ ܘܚܕ
"of the First (Day) of the Week, the Twenty-Second",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܬܪܝܢ
"of the First (Day) of the Week, the Twenty-Third",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܬܠܬܐ
for the Commemoration of John the Baptist,ܒܕܘܟܪܢܗ ܕܝܘܚܢܢ ܡܥܡܕܢܐ
"of the First (Day) of the Week, the Twenty-Fourth ",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܐܪ̈ܒܥܐ
"of the First (Day) of the Week, the Twenty-Fifth",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܚܡܫܐ
"of the Eve of Preparation, of the Passion of our Lord",ܕܥܪܘܒܬܐ ܕܚܫܗ ܕܡܪܢ
"of the First (Day) of the Week, the Twenty-Sixth ",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܫܬܐ
"of the First (Day) of the Week, the Twenty-Seventh ",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܫܒ̈ܥܐ
"of the First (Day) of the Week, the Twenty-EEighth",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܬܡܢܝ̈ܐ
"of the Fifth (Day) of the Week, of Mystery",ܕܚܡܫܐ ܒܫܒܐ ܕܪܐܙܐ
"of the First (Day) of the Week, the Twenty-Ninth",ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ ܘܬܫܥ̈ܐ
"of the First (Day) of the Week, thirtieth",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ
"of the Second (Day) of the Week, of the Great Week",ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ
"of the Eve of Preparation, of the Rest",ܕܥܪܘܒܬܐ ܕܢܝܚܬܐ
"of the First (Day) of the Week, the Thirty-First",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܚܕ
"of the First (Day) of the Week, the Thirty-Second",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܬܪ̈ܝܢ
"of the First (Day) of the Week, the Thirty-Third",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܬܠܬܐ
When there are Rogations,ܡܐ ܕܗܘܝܢ ܒܥܘ̈ܬܐ
"of the First (Day) of the Week, the Thirty-Fourth ",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܐܪ̈ܒܐ
"of the First (Day) of the Week, the Fourth of the Fast",ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܕܨܘܡܐ
of the Renewal of the honoured Cross,ܕܐܢܩܢܝܐ ܕܨܠܝܒܐ ܡܝܩܪܐ
"of the First (Day) of the Week, the Thirty-Fifth",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܚܡܫ̈ܐ
"of the Fourth (Day) of the Week, of the Week of the Rest",ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ
for the Commemoration of the Apostles,ܒܕܘܟܪܢܐ ܕܫ̈ܠܝܚܐ
"of the First (Day) of the Week, the Fifth, of the Fast",ܕܚܕܒܫܒܐ ܕܚ̈ܡܫܐ ܕܨܘܡܐ
"of the First (Day) of the Week, the Thirty-Sixth",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܫ̈ܬܐ
"of the First (Day) of the Week, the Thirty-Seventh",ܕܚܕܒܫܒܐ ܕܬܠܬܝܢ ܘܫܒܥ̈ܐ
"of the First (Day) of the Week, the Second, after the Manifestation",ܕܚܕܒܫܒܐ ܕܬܪ̈ܝܢ ܕܒܬܪ ܕܢܚܐ
"of the First (Day) of the Week, the Third, after the Manifestation",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܒܬܪ ܕܢܚܐ
"of the First (Day) of the Week, the Fourth after the Manifestation",ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܕܒܬܪ ܕܢܚܐ
"of the First (Day) of the Week, the Sixth, after the Manifestation",ܕܚܕܒܫܒܐ ܕܫ̈ܬܐ ܕܒܬܪ ܕܢܚܐ
"of the First (Day) of the Week, the Seventh, after the Manifestation",ܕܚܕܒܫܒܐ ܕܫܒ̈ܥܐ ܕܒܬܪ ܕܢܚܐ
for the Commemoration of one of the Bishops,ܒܕܘܟܪܢܐ ܕܚܕ ܡܢ ܐܦܝ̈ܣܩܦܐ
"of the First (Day) of the Week, the Eighth, after the Manifestation",ܕܚܕܒܫܒܐ ܕܬܡ̈ܢܝܐ ܕܒܬܪ ܕܢܚܐ
"of the Fifth (Day) of the Week, of the First Week of the Fast",ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ
"of the First (Day) of the Week, of the Hosannas",ܕܚܕܒܫܒܐ ܕܐܘܫܥܢܐ
"of the First (Day) of the Week, of Renewal",ܘܕܚܕܒܫܒܐ ܚ[ܘܕ]ܬ[ܐ]
"of the Great First (Day) of the Week of the Resurrection of our Lord, in Day-Time",ܕܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܗ ܕܡܪܢ ܒܐܝܡܡܐ
"of the Passion, in the Night",ܕܚܫܐ ܒܠܠܝܐ
"of the Fourth (Day) of the Week, of the Week of the Rest; and for the Commemoration of the Apostles",ܕܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܘܒܕܘܟܪܢܐ ܕܫܠܝ̈ܚܐ
"of the Night of the Dawn of the Great First (Day) of the Week, of the Resurrection; and the Third (Day) of the Week, of the Rest",ܕܠܠܝܐ ܕܢܓܗ ܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܐ ܘܕܬܠܬܐ ܒܫܒܐ ܕܢܝܚܬܐ
of the Birth,ܕܝܠܕܐ
of the Ascension of our Lord towards his Blessed Father,ܕܣܘܠܩܗ ܕܡܪܢ ܕܠܘܬ ܐܒܘܗܝ ܡܫܒܚܐ
of the Birth; and of the Unleavened Bread,ܕܒܝܬ ܝܠܕܐ ܘܕܦܛܝܪ̈ܐ
for the Commemoration of the Infants,ܒܕܘܟܪܢܐ ܕܝܠܘ̈ܕܐ
"of the First (Day) of the Week, of Pentecost",ܕܚܕܒܫܒܐ ܕܦܢܛܩܘ̈ܣܛܐ
"and of the Night, of the Dawn of the Great First (Day) of the Week, of the Resurrection of our Lord",ܘܕܠܠܝܐ ܕܢܓܗ ܕܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܗ ܕܡܪܢ
"of the Manifestation, in DayTime",ܕܒܝܬ ܕܢܚܐ ܒܐܝܡܡܐ
"of the Second (Day) of the Week, of the Week of the Rest",ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ
"of the First (Day) of the Week, of the Beginning of the Great Week",ܕܚܕܒܫܒܐ ܕܡܥܠܝ ܫܒܬܐ ܪܒܬܐ
"of the Sabbath, of Dawn of the First (Day) of the Week, of the Unleavened Bread",ܕܫܒܬܐ ܕܢܓܗ ܚܕܒܫܒܐ ܕܦܛܝܪܐ
"of the Fifth (Day) of the Week, of the Great Week",ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ
"of the Dawn of the Eve of Preparation, of the Great Week",ܕܡܓܗ̈ܝ ܥܪܘܒܬܐ ܕܫܒܬܐ ܪܒܬܐ
of the Resurrection of our Lord,ܕܩܝܡܬܗ ܕܡܪܢ
"of the First (Day) of the Week, the Ninth",ܕܚܕܒܫܒܐ ܕܬܫܥܐ
"of the Fourth (Day) of the Week, of the Great Week",ܕܐܪܒܥܐ ܒ[ܫܒܐ ܕܫܒܬܐ] ܪܒܬܐ
"of the Manifestation of our Saviour; and of the Eve of Preparation, of the Apostles",ܕܕܢܚܗ ܕܦܪܘܩܢ ܘܕܥܪܘܒܬܐ ܕܫܠܝܚ̈ܐ
for the Commemoration of the Apostles,ܒܕܘܟܪܢܐ ܕܫܠܝܚ̈ܐ
"of the First (Day) of the Week, the Fifth, of the Fast",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܨܘܡܐ
